county,ded,townland_or_street,townland_to_map_url,townland_to_map
Down,Rosstrevor,Rostrevor_Village,http://www.townlands.ie/down/iveagh-upper-upper-half/kilbroney/rosstrevor,Rosstrevor
Down,Rosstrevor,Rostrevor_Village_Bridge_Street,http://www.townlands.ie/down/iveagh-upper-upper-half/kilbroney/rosstrevor,Rosstrevor
Down,Rosstrevor,Rostrevor_Village_Church_Street,http://www.townlands.ie/down/iveagh-upper-upper-half/kilbroney/rosstrevor,Rosstrevor
Down,Rosstrevor,Rostrevor_Village_Mary_Street,http://www.townlands.ie/down/iveagh-upper-upper-half/kilbroney/rosstrevor,Rosstrevor
Down,Rosstrevor,Rostrevor_Village_Ships_in_Port,http://www.townlands.ie/down/iveagh-upper-upper-half/kilbroney/rosstrevor,Rosstrevor
Down,Rosstrevor,Rostrevor_Village_Ships_off_the_Quay,http://www.townlands.ie/down/iveagh-upper-upper-half/kilbroney/rosstrevor,Rosstrevor
Down,Rosstrevor,Rostrevor_Village_Syenite_Street,http://www.townlands.ie/down/iveagh-upper-upper-half/kilbroney/rosstrevor,Rosstrevor
Down,Rosstrevor,Rostrevor_Village_Water_Street,http://www.townlands.ie/down/iveagh-upper-upper-half/kilbroney/rosstrevor,Rosstrevor
Down,Rosstrevor,Rostrevor_Village_Shipping,http://www.townlands.ie/down/iveagh-upper-upper-half/kilbroney/rosstrevor,Rosstrevor
Down,Rosstrevor,Rosstrevor,http://www.townlands.ie/down/iveagh-upper-upper-half/kilbroney/rosstrevor,Rosstrevor
Fermanagh,Ballinamallard,Ballinamallard_Village_Salloon,http://www.townlands.ie/fermanagh/tirkennedy/magheracross/salloon,Salloon
Fermanagh,Ballinamallard,Salloon,http://www.townlands.ie/fermanagh/tirkennedy/magheracross/salloon,Salloon
Fermanagh,Ballinamallard,Bellanamallard,http://www.townlands.ie/fermanagh/tirkennedy/magheracross/bellanamallard,Bellanamallard
Fermanagh,Ballinamallard,Sidaire,http://www.townlands.ie/fermanagh/tirkennedy/magheracross/sidaire,Sidaire
Fermanagh,Ballycassidy,Ardgart,http://www.townlands.ie/fermanagh/tirkennedy/magheracross/ardgart,Ardgart
Fermanagh,Ballycassidy,Cloghbally,http://www.townlands.ie/fermanagh/tirkennedy/trory/cloghbally,Cloghbally
Fermanagh,Ballycassidy,Gortaloughan,http://www.townlands.ie/fermanagh/tirkennedy/magheracross/gortaloughan,Gortaloughan
Fermanagh,Ballycassidy,Monalla,http://www.townlands.ie/fermanagh/tirkennedy/derryvullan-and-islands/monalla,Monalla
Fermanagh,Ballycassidy,Ring,http://www.townlands.ie/fermanagh/tirkennedy/trory/ring,Ring
Fermanagh,Ballycassidy,Trasna_Island,http://www.townlands.ie/fermanagh/tirkennedy/trory/trasna-island,Trasna_Island
Fermanagh,Ballycassidy,Tullyavy,http://www.townlands.ie/fermanagh/tirkennedy/trory/tullyavy,Tullyavy
Fermanagh,Ballycassidy,Urbal_or_Mossfield,http://www.townlands.ie/fermanagh/tirkennedy/trory/urbal-mossfield,Urbal_or_Mossfield
Fermanagh,Ballydoolagh,Derrykeeghan,http://www.townlands.ie/fermanagh/tirkennedy/enniskillen/derrykeeghan,Derrykeeghan
Fermanagh,Ballydoolagh,Gortmessan,http://www.townlands.ie/fermanagh/tirkennedy/enniskillen/gortmessan,Gortmessan
Fermanagh,Ballydoolagh,Lissan,http://www.townlands.ie/fermanagh/tirkennedy/derryvullan-and-islands/lissan,Lissan
Fermanagh,Ballydoolagh,Relagh,http://www.townlands.ie/fermanagh/tirkennedy/enniskillen/relagh,Relagh
Fermanagh,Ballydoolagh,Shankill,http://www.townlands.ie/fermanagh/tirkennedy/derryvullan-and-islands/shankill,Shankill
Fermanagh,Ballyreagh,Glasdrumman,http://www.townlands.ie/fermanagh/tirkennedy/derrybrusk/glasdrumman,Glasdrumman
Fermanagh,Ballyreagh,Mullyknock_or_Topped_Mountain,http://www.townlands.ie/fermanagh/tirkennedy/enniskillen/mullyknock-or-topped-mountain,Mullyknock_or_Topped_Mountain
Fermanagh,Ballyreagh,Tiraltan,http://www.townlands.ie/fermanagh/tirkennedy/enniskillen/tiraltan,Tiraltan
Fermanagh,Castle_Coole,Ballintarsan,http://www.townlands.ie/fermanagh/tirkennedy/derryvullan-and-islands/ballintarsan,Ballintarsan
Fermanagh,Castle_Coole,Bonnybrook,http://www.townlands.ie/fermanagh/tirkennedy/derryvullan-and-islands/bonnybrook,Bonnybrook
Fermanagh,Castle_Coole,Carrowmacmea,http://www.townlands.ie/fermanagh/tirkennedy/derryvullan-and-islands/carrowmacmea,Carrowmacmea
