,0,1,2,3
304,375 E Fm 3040 Lewisville TX 75067,Racetrac #484,2.479,1 Day Ago
305,2198 E Arapaho Rd Richardson TX 75081,Chevron,2.699,1 Day Ago
306,6000 Independence Pkwy Plano TX 75023,Kwiz Valero,2.699,1 Day Ago
307,400 S Denton Tap Rd Coppell TX 75019,Shell,2.699,1 Day Ago
308,9616 Audelia Rd Dallas TX 75238,Circle K #6136,2.659,1 Day Ago
309,4645 Hedgcoxe Rd Plano TX 75024,7-eleven #36801,2.579,1 Day Ago
310,2150 E Belt Line Rd Richardson TX 75081,Texaco,2.759,3 Days Ago
311,5401 N Macarthur Blvd Irving TX 75038,Corner Store #2419,2.659,1 Day Ago
312,996 W Parker Rd Plano TX 75075,7-eleven #30418,2.589,1 Day Ago
313,101 E Belt Line Rd Coppell TX 75019,Chevron,2.699,1 Day Ago
314,5601 Lemmon Ave Dallas TX 75209,7-eleven #32924,2.679,1 Day Ago
315,4906 N Jupiter Rd Garland TX 75044,Quiktrip #906,2.649,1 Day Ago
316,3464 W Campbell Rd Garland TX 75044,Js Quick Stop,2.699,1 Day Ago
317,6418 N Jupiter Rd Garland TX 75044,Chevron,2.699,2 Days Ago
318,3443 W Campbell Rd Garland TX 75044,Pic N Go,2.699,2 Days Ago
319,4214 Forest Ln Garland TX 75042,Racetrac #423,2.679,1 Day Ago
320,10707 Miller Rd Dallas TX 75238,Racetrac #613,2.599,1 Day Ago
321,1931 N Jupiter Rd Garland TX 75042,Speedee Way,2.699,1 Day Ago
322,801 E Park Blvd Plano TX 75074,Racetrac #2505,2.599,1 Day Ago
323,750 N Denton Tap Rd Coppell TX 75019,Market Street United #564,2.479,1 Day Ago
324,1484 S Belt Line Rd Coppell TX 75019,Quiktrip #969,2.649,1 Day Ago
325,2025 W Spring Creek Pkwy Plano TX 75023,7-eleven #25576,2.589,1 Day Ago
326,3103 Inwood Rd Dallas TX 75235,Texaco,2.699,1 Day Ago
327,1886 S Stemmons Fwy Lewisville TX 75067,Dickeys,2.599,2 Days Ago
